generation,car,x,y
,27,1119.852055042822,908.4708572938486
,27,1131.443164958291,905.3650287526183
,27,1143.0342748737598,902.259200211388
,27,1154.6253847892287,899.1533716701578
,27,1166.2164947046977,896.0475431289275
,20,850.0,920.0
,20,866.0,920.0
,20,878.0,920.0
,20,890.0,920.0
,20,902.0,920.0
,20,914.0,920.0
,20,926.0,920.0
,20,938.0,920.0
,20,950.0,920.0
,20,962.0,920.0
,20,974.0,920.0
,20,986.0,920.0
,20,998.0,920.0
,20,1010.0,920.0
,20,1022.0,920.0
,20,1034.0,920.0
,20,1046.0,920.0
,20,1058.0,920.0
,20,1070.0,920.0
,20,1082.0,920.0
,20,1094.0,920.0
,20,1106.0,920.0
,20,1118.0,920.0
,20,1130.0,920.0
,20,1141.591109915469,916.8941714587697
,20,1153.1822198309378,913.7883429175395
,29,850.0,920.0
,29,869.3185165257813,925.1763809020504
,29,889.3185165257813,925.1763809020504
,29,908.6370330515626,930.3527618041007
,29,928.6370330515626,930.3527618041007
,29,947.955549577344,935.5291427061511
,29,967.955549577344,935.5291427061511
,29,987.2740661031253,940.7055236082015
,29,1007.2740661031253,940.7055236082015
,29,1026.5925826289067,935.5291427061511
,29,1046.5925826289067,935.5291427061511
,29,1065.9110991546881,930.3527618041007
,29,1083.231607230377,920.3527618041007
,29,1102.5501237561584,915.1763809020504
,29,1119.8706318318473,905.1763809020504
,29,1139.1891483576287,900.0
,29,1156.5096564333176,890.0
,29,1170.6517920570484,875.857864376269
,29,1180.6517920570484,858.5373563005803
,29,1188.6517920570484,844.6809498400293
,29,1194.6517920570484,834.288644994616
,29,1200.6517920570484,823.8963401492027
,29,1206.6517920570484,813.5040353037895
,29,1212.6517920570484,803.1117304583762
,29,1218.6517920570484,792.7194256129629
,29,1224.6517920570484,782.3271207675497
,29,1230.6517920570484,771.9348159221364
,29,1236.6517920570484,761.5425110767231
,29,1242.6517920570484,751.1502062313099
,29,1248.6517920570484,740.7579013858966
,8,849.3185165257813,925.1763809020504
,8,864.7733297464064,929.3174856236907
,8,880.7733297464064,929.3174856236907
,8,892.7733297464064,929.3174856236907
,8,904.7733297464064,929.3174856236907
,8,916.7733297464064,929.3174856236907
,8,928.7733297464064,929.3174856236907
,8,940.7733297464064,929.3174856236907
,8,952.7733297464064,929.3174856236907
,8,964.7733297464064,929.3174856236907
,8,976.7733297464064,929.3174856236907
,8,988.3644396618752,926.2116570824604
,8,999.955549577344,923.1058285412302
,8,1011.5466594928128,919.9999999999999
,8,1023.5466594928128,919.9999999999999
,8,1035.5466594928128,919.9999999999999
,8,1047.5466594928128,919.9999999999999
,8,1059.5466594928128,919.9999999999999
,8,1071.1377694082817,916.8941714587696
,8,1082.7288793237506,913.7883429175394
,8,1093.1211841691638,907.7883429175394
,8,1103.513489014577,901.7883429175394
,8,1113.9057938599904,895.7883429175394
,8,1122.391075234229,887.3030615433008
,8,1130.8763566084676,878.8177801690623
,8,1139.3616379827063,870.3324987948238
,8,1147.846919356945,861.8472174205853
,8,1156.3322007311835,853.3619360463467
,8,1164.8174821054222,844.8766546721082
,8,1173.3027634796608,836.3913732978697
,8,1179.3027634796608,825.9990684524564
,8,1182.408592020891,814.4079585369876
,8,1185.5144205621214,802.8168486215188
,8,1185.5144205621214,790.8168486215188
,8,1185.5144205621214,778.8168486215188
,8,1185.5144205621214,766.8168486215188
,8,1182.408592020891,755.22573870605
,8,1176.408592020891,744.8334338606368
,6,849.3185165257813,914.8236190979496
,6,864.7733297464064,910.6825143763093
,6,876.3644396618752,907.576685835079
,6,887.955549577344,904.4708572938488
,6,899.5466594928128,901.3650287526185
,6,911.1377694082815,898.2592002113882
,6,921.5300742536948,892.2592002113882
,6,933.1211841691636,889.153371670158
,6,945.1211841691636,889.153371670158
,6,957.1211841691636,889.153371670158
,6,969.1211841691636,889.153371670158
,6,981.1211841691636,889.153371670158
,6,993.1211841691636,889.153371670158
,6,1005.1211841691636,889.153371670158
,6,1017.1211841691636,889.153371670158
,6,1028.7122940846325,886.0475431289277
,6,1040.3034040001014,882.9417145876974
,6,1051.8945139155703,879.8358860464672
,6,1063.4856238310392,876.7300575052369
,6,1075.0767337465081,873.6242289640066
,6,1085.4690385919214,867.6242289640066
,6,1095.8613434373347,861.6242289640066
,6,1106.253648282748,855.6242289640066
,6,1117.8447581982168,852.5184004227764
,6,1128.23706304363,846.5184004227764
,6,1139.828172959099,843.4125718815461
,6,1150.2204778045123,837.4125718815461
,6,1161.8115877199812,834.3067433403158
,6,1173.8115877199812,834.3067433403158
,6,1185.40269763545,831.2009147990856
,6,1197.40269763545,831.2009147990856
,6,1208.993807550919,834.3067433403158
,6,1220.5849174663879,837.4125718815461
,6,1232.1760273818568,840.5184004227764
,6,1242.56833222727,846.5184004227764
,6,1252.9606370726833,852.5184004227764
,6,1263.3529419180966,858.5184004227764
,6,1273.7452467635098,864.5184004227764
,6,1284.137551608923,870.5184004227764
,6,1294.5298564543364,876.5184004227764
,6,1304.9221612997496,882.5184004227764
,6,1315.314466145163,888.5184004227764
,6,1325.7067709905762,894.5184004227764
,6,1336.0990758359894,900.5184004227764
,6,1346.4913806814027,906.5184004227764
,6,1356.883685526816,912.5184004227764
,6,1367.2759903722292,918.5184004227764
,6,1377.6682952176425,924.5184004227764
,6,1389.2594051331114,927.6242289640066
,6,1400.8505150485803,930.7300575052369
,6,1412.4416249640492,933.8358860464672
,6,1424.032734879518,936.9417145876974
,6,1436.032734879518,936.9417145876974
,6,1448.032734879518,936.9417145876974
,6,1460.032734879518,936.9417145876974
,6,1471.623844794987,933.8358860464672
,6,1483.214954710456,930.7300575052369
,6,1493.6072595558692,924.7300575052369
,6,1503.9995644012824,918.7300575052369
,6,1514.3918692466957,912.7300575052369
,6,1522.8771506209343,904.2447761309984
,6,1531.362431995173,895.7594947567599
,6,1539.8477133694116,887.2742133825213
,6,1545.8477133694116,876.8819085371081
,6,1551.8477133694116,866.4896036916948
,6,1557.8477133694116,856.0972988462815
,6,1563.8477133694116,845.7049940008683
,6,1569.8477133694116,835.312689155455
,6,1572.953541910642,823.7215792399862
