generation,car,x,y
4,12,1044.0799973098049,913.011885782232
4,12,1071.1259204458988,905.7649525193614
4,12,1099.1377694082819,898.2592002113882
4,12,1128.115544196954,890.4946288583126
4,12,1158.059244811915,882.4712384601345
4,12,1188.9688712531652,874.1890290168539
4,12,1220.8444235207044,865.6480005284707
4,12,1249.4232618455908,849.1480005284707
4,12,1281.29881411313,840.6069720400875
4,12,1314.29881411313,840.6069720400875
4,12,1346.1743663806692,849.1480005284707
4,12,1374.7532047055556,865.6480005284707
4,27,850.0,920.0
4,27,866.0,920.0
4,27,878.0,920.0
4,27,890.0,920.0
4,27,902.0,920.0
4,27,914.0,920.0
4,27,926.0,920.0
4,27,938.0,920.0
4,27,950.0,920.0
4,27,962.0,920.0
4,27,974.0,920.0
4,27,986.0,920.0
4,27,998.0,920.0
4,27,1010.0,920.0
4,27,1022.0,920.0
4,27,1034.0,920.0
4,27,1046.0,920.0
4,27,1058.0,920.0
4,27,1070.0,920.0
4,27,1082.0,920.0
4,27,1094.0,920.0
4,27,1106.0,920.0
4,27,1117.591109915469,923.1058285412303
4,27,1127.9834147608822,929.1058285412303
4,11,850.0,920.0
4,11,866.0,920.0
4,11,878.0,920.0
4,11,890.0,920.0
4,11,902.0,920.0
4,11,914.0,920.0
4,11,926.0,920.0
4,11,938.0,920.0
4,11,950.0,920.0
4,11,962.0,920.0
4,11,974.0,920.0
4,11,986.0,920.0
4,11,998.0,920.0
4,11,1010.0,920.0
4,11,1022.0,920.0
4,11,1034.0,920.0
4,11,1046.0,920.0
4,11,1058.0,920.0
4,11,1070.0,920.0
4,11,1082.0,920.0
4,11,1094.0,920.0
4,11,1106.0,920.0
4,11,1118.0,920.0
4,11,1130.0,920.0
4,11,1142.0,920.0
4,14,850.0,920.0
4,14,866.0,920.0
4,14,878.0,920.0
4,14,890.0,920.0
4,14,902.0,920.0
4,14,914.0,920.0
4,14,926.0,920.0
4,14,938.0,920.0
4,14,950.0,920.0
4,14,962.0,920.0
4,14,974.0,920.0
4,14,986.0,920.0
4,14,998.0,920.0
4,14,1010.0,920.0
4,14,1023.0,920.0
4,14,1037.0,920.0
4,14,1052.0,920.0
4,14,1068.0,920.0
4,14,1085.0,920.0
4,14,1101.4207390469142,915.6000762332571
4,14,1113.9777747886721,912.2354286469243
4,14,1126.5348105304301,908.8707810605915
4,14,1139.0918462721881,905.5061334742587
